Gen	Pop	Mean	Max	Min
794	100   	-12.65	-8 	-13
795	100   	-12.95	-8 	-13
796	100   	-12.4 	-3 	-13
797	100   	-12.7 	-8 	-13
798	100   	-12.5 	-8 	-13
799	100   	-12.35	-3 	-13
800	100   	-11.98	39 	-13
801	100   	-12.7 	-8 	-13
802	100   	-12.45	-3 	-13
803	100   	-12.65	-8 	-13
804	100   	-12.65	-8 	-13
805	100   	-12.5 	-3 	-13
806	100   	-12.7 	-3 	-13
807	100   	-12.7 	-8 	-13
808	100   	-12.6 	-8 	-13
809	100   	-12.5 	-8 	-13
810	100   	-12.55	-8 	-13
811	100   	-12.4 	-8 	-13
812	100   	-12.75	-3 	-13
813	100   	-12.65	-8 	-13
814	100   	-12.65	-3 	-13
815	100   	-12.15	-3 	-13
816	100   	-12.65	-8 	-13
817	100   	-12.7 	-8 	-13
818	100   	-12.85	-8 	-13
819	100   	-12.55	-3 	-13
820	100   	-12.35	-8 	-13
821	100   	-12.55	-3 	-13
822	100   	-12.65	-8 	-13
823	100   	-12.55	-8 	-13
824	100   	-12.75	-8 	-13
825	100   	-12.25	-3 	-13
826	100   	-12.55	-8 	-13
827	100   	-12.65	-8 	-13
828	100   	-12.55	-3 	-13
829	100   	-12.8 	-8 	-13
830	100   	-12.7 	-8 	-13
831	100   	-12.55	-8 	-13
832	100   	-12.5 	-3 	-13
833	100   	-12.6 	-8 	-13
834	100   	-12.75	-8 	-13
835	100   	-12.35	-8 	-13
836	100   	-12.08	34 	-13
837	100   	-12.55	-3 	-13
838	100   	-12.4 	-3 	-13
839	100   	-12.5 	-8 	-13
840	100   	-12.25	-3 	-13
841	100   	-12.6 	-8 	-13
842	100   	-11.93	39 	-13
843	100   	-12.55	-3 	-13
844	100   	-12.45	-8 	-13
845	100   	-12.55	-8 	-13
846	100   	-12.4 	-3 	-13
847	100   	-12.7 	-3 	-13
848	100   	-12.6 	-8 	-13
849	100   	-12.65	-3 	-13
850	100   	-12.75	-8 	-13
851	100   	-12.45	-3 	-13
852	100   	-12.55	-8 	-13
853	100   	-12.35	-3 	-13
854	100   	-12.65	-8 	-13
855	100   	-12.75	-8 	-13
856	100   	-12.45	-3 	-13
857	100   	-12.65	-8 	-13
858	100   	-12.4 	-3 	-13
859	100   	-12.55	-8 	-13
860	100   	-12.6 	-3 	-13
861	100   	-12.3 	-3 	-13
862	100   	-12.75	-8 	-13
863	100   	-12.7 	-3 	-13
864	100   	-12.35	-3 	-13
865	100   	-12.45	-3 	-13
866	100   	-12.4 	-8 	-13
867	100   	-12.45	-8 	-13
868	100   	-12.25	-3 	-13
869	100   	-12.3 	-3 	-13
870	100   	-12.8 	-8 	-13
871	100   	-12.45	-3 	-13
872	100   	-12.4 	-8 	-13
873	100   	-12.45	-3 	-13
874	100   	-12.4 	-8 	-13
875	100   	-12.35	-3 	-13
876	100   	-12.35	-8 	-13
877	100   	-12.55	-3 	-13
878	100   	-12.6 	-8 	-13
879	100   	-12.5 	-3 	-13
880	100   	-12.5 	-8 	-13
881	100   	-12.6 	-3 	-13
882	100   	-12.25	-3 	-13
883	100   	-12.55	-3 	-13
884	100   	-12.75	-3 	-13
885	100   	-12.55	-8 	-13
886	100   	-12.7 	-8 	-13
887	100   	-12.5 	-3 	-13
888	100   	-12.5 	-8 	-13
889	100   	-12.7 	-8 	-13
890	100   	-12.55	-3 	-13
891	100   	-12.6 	-8 	-13
892	100   	-12.5 	-8 	-13
893	100   	-12.5 	-8 	-13
894	100   	-12.65	-8 	-13
895	100   	-12.65	-8 	-13
896	100   	-12.25	-3 	-13
897	100   	-12.03	39 	-13
898	100   	-12.75	-8 	-13
899	100   	-12.6 	-8 	-13
900	100   	-12.7 	-8 	-13
901	100   	-12   	-3 	-13
902	100   	-12.5 	-3 	-13
903	100   	-12.55	-3 	-13
904	100   	-12.15	-3 	-13
905	100   	-12.65	-8 	-13
906	100   	-12.7 	-8 	-13
907	100   	-12.4 	-3 	-13
908	100   	-12.75	-8 	-13
909	100   	-12.03	39 	-13
910	100   	-12.55	-8 	-13
911	100   	-12.6 	-8 	-13
912	100   	-12.5 	-8 	-13
913	100   	-12.75	-8 	-13
914	100   	-12.5 	-8 	-13
915	100   	-12.35	-8 	-13
916	100   	-12.6 	-8 	-13
917	100   	-12.75	-3 	-13
918	100   	-12.65	-8 	-13
919	100   	-11.95	-3 	-13
920	100   	-12.55	-3 	-13
921	100   	-12.45	-8 	-13
922	100   	-12.45	-3 	-13
923	100   	-12.3 	-3 	-13
924	100   	-12.6 	-8 	-13
925	100   	-12.4 	-3 	-13
926	100   	-12.5 	-8 	-13
927	100   	-12.25	-3 	-13
928	100   	-12.7 	-8 	-13
929	100   	-12.55	-8 	-13
930	100   	-12.45	-8 	-13
931	100   	-12.55	-8 	-13
932	100   	-12.65	-8 	-13
933	100   	-12.7 	-8 	-13
934	100   	-12.65	-3 	-13
935	100   	-12.3 	-3 	-13
936	100   	-12.65	-8 	-13
937	100   	-12.55	-8 	-13
938	100   	-12.03	39 	-13
939	100   	-12.8 	-8 	-13
940	100   	-12.75	-8 	-13
941	100   	-12.45	-3 	-13
942	100   	-12.55	-8 	-13
943	100   	-12.65	-8 	-13
944	100   	-12.6 	-8 	-13
945	100   	-12.55	-8 	-13
946	100   	-12.55	-8 	-13
947	100   	-12.5 	-8 	-13
948	100   	-12.5 	-8 	-13
949	100   	-12.55	-3 	-13
950	100   	-12.55	-3 	-13
951	100   	-12.8 	-8 	-13
952	100   	-12.75	-8 	-13
953	100   	-12.6 	-8 	-13
954	100   	-12.7 	-8 	-13
955	100   	-12.45	-8 	-13
956	100   	-12.65	-8 	-13
957	100   	-12.7 	-3 	-13
958	100   	-12.45	-3 	-13
959	100   	-12.35	-3 	-13
960	100   	-12.6 	-8 	-13
961	100   	-12.75	-8 	-13
962	100   	-12.4 	-8 	-13
963	100   	-12.45	-3 	-13
964	100   	-12.5 	-3 	-13
965	100   	-12.18	34 	-13
966	100   	-12.65	-8 	-13
967	100   	-12.55	-8 	-13
968	100   	-12.55	-3 	-13
969	100   	-12.4 	-3 	-13
970	100   	-12.25	-8 	-13
971	100   	-12.35	-8 	-13
972	100   	-12.55	-8 	-13
973	100   	-12.6 	-3 	-13
974	100   	-12.6 	-8 	-13
975	100   	-12.55	-3 	-13
976	100   	-12.45	-3 	-13
977	100   	-12.4 	-3 	-13
978	100   	-12.3 	-3 	-13
979	100   	-12.5 	-3 	-13
980	100   	-12.2 	-3 	-13
981	100   	-12.35	-3 	-13
982	100   	-12.2 	-3 	-13
983	100   	-12.7 	-8 	-13
984	100   	-12.5 	-8 	-13
985	100   	-12.6 	-3 	-13
986	100   	-12.45	-3 	-13
987	100   	-12.75	-8 	-13
988	100   	-12.7 	-3 	-13
989	100   	-12.6 	-8 	-13
990	100   	-12.35	-8 	-13
991	100   	-12.6 	-8 	-13
992	100   	-12.45	-3 	-13
993	100   	-12.15	-3 	-13
994	100   	-12.75	-3 	-13
995	100   	-12.4 	-3 	-13
996	100   	-12.6 	-3 	-13
997	100   	-12.15	-3 	-13
998	100   	-12.7 	-8 	-13
999	100   	-11.88	34 	-13
1000	100   	-12.55	-3 	-13
